,Time,Container,Status,CPU %,Memory GB
0,2026-02-11 13:00:12,cadvisor,RUNNING,101006.96,1649.217
1,2026-02-11 13:00:12,waha,RUNNING,100513.49,1649.217
2,2026-02-11 13:00:12,app_proxy,RUNNING,99773.28,1649.217
3,2026-02-11 13:00:12,chatwoot_redisV2,RUNNING,101482.09,1649.217
4,2026-02-11 13:00:12,supabase-rest,RUNNING,99506.54,1649.217
5,2026-02-11 13:00:12,evolution,RUNNING,101207.02,1649.217
6,2026-02-11 13:00:12,supabase-imgproxy,RUNNING,99318.15,1649.217
7,2026-02-11 13:00:12,chatwoot_postgresV2,RUNNING,102142.28,1649.217
8,2026-02-11 13:00:12,gemini,RUNNING,101046.97,1649.217
9,2026-02-11 13:00:12,realtime-dev.supabase-realtime,RUNNING,99588.22,1649.217
10,2026-02-11 13:00:12,n8n,RUNNING,101267.03,1649.217
11,2026-02-11 13:00:12,supabase-auth,RUNNING,98761.32,1649.217
12,2026-02-11 13:00:12,supabase-edge-functions,RUNNING,100108.37,1649.217
13,2026-02-11 13:00:12,n8n_redis,RUNNING,102273.99,1649.217
14,2026-02-11 13:00:12,supabase-vector,RUNNING,99924.99,1649.217
15,2026-02-11 13:00:12,chatwoot_sidekiq,RUNNING,100236.74,1649.217
16,2026-02-11 13:00:12,supabase-db,RUNNING,99863.3,1649.217
17,2026-02-11 13:00:12,supabase-kong,RUNNING,97497.63,1649.217
18,2026-02-11 13:00:12,redis,RUNNING,101627.14,1649.217
19,2026-02-11 13:00:12,postgres,RUNNING,102349.01,1649.217
20,2026-02-11 13:00:12,adminer,RUNNING,99143.1,1649.217
21,2026-02-11 13:00:12,chatwoot_sidekiqV2,RUNNING,101070.31,1649.217
22,2026-02-11 13:00:12,supabase-storage,RUNNING,102038.92,1649.217
23,2026-02-11 13:00:12,chatwoot_postgres,RUNNING,99886.64,1649.217
24,2026-02-11 13:00:12,n8n_postgres,RUNNING,100893.59,1649.217
25,2026-02-11 13:00:12,supabase-analytics,RUNNING,100211.73,1649.217
26,2026-02-11 13:00:12,n8n_pgvector,RUNNING,100683.54,1649.217
27,2026-02-11 13:00:12,chatwoot_redis,RUNNING,99396.5,1649.217
28,2026-02-11 13:00:12,supabase-meta,RUNNING,100395.12,1649.217
29,2026-02-11 13:00:12,supabase-studio,RUNNING,102739.12,1649.217
30,2026-02-11 13:00:12,db_proxy,RUNNING,100113.37,1649.217
31,2026-02-11 12:59:12,cadvisor,RUNNING,98429.88,1649.217
32,2026-02-11 12:59:12,waha,RUNNING,101566.68,1649.217
33,2026-02-11 12:59:12,app_proxy,RUNNING,100034.56,1649.217
34,2026-02-11 12:59:12,chatwoot_redisV2,RUNNING,98340.82,1649.217
35,2026-02-11 12:59:12,supabase-rest,RUNNING,99396.32,1649.217
