Time,Container,Status,CPU %,Memory GB
2026-02-14 14:23:09,cadvisor,RUNNING,6.72,0.142
2026-02-14 14:23:09,waha,RUNNING,0.01,0.127
2026-02-14 14:23:09,app_proxy,RUNNING,0.01,0.14
2026-02-14 14:23:09,chatwoot_redisV2,RUNNING,0.18,0.006
2026-02-14 14:23:09,supabase-rest,RUNNING,0.04,0.013
2026-02-14 14:23:09,evolution,RUNNING,0.0,0.083
2026-02-14 14:23:09,supabase-imgproxy,RUNNING,0.7,0.058
2026-02-14 14:23:09,chatwoot_postgresV2,RUNNING,0.02,0.039
2026-02-14 14:23:09,gemini,RUNNING,0.0,0.0
2026-02-14 14:23:09,realtime-dev.supabase-realtime,RUNNING,0.59,0.179
2026-02-14 14:23:09,n8n,RUNNING,0.09,0.576
2026-02-14 14:23:09,supabase-auth,RUNNING,0.23,0.011
2026-02-14 14:23:09,supabase-edge-functions,RUNNING,0.01,0.023
2026-02-14 14:23:09,n8n_redis,RUNNING,0.15,0.003
2026-02-14 14:23:09,supabase-vector,RUNNING,0.3,0.028
2026-02-14 14:23:09,chatwoot_sidekiq,RUNNING,0.13,0.322
2026-02-14 14:23:09,supabase-db,RUNNING,0.76,0.185
2026-02-14 14:23:09,supabase-kong,RUNNING,0.5,0.227
2026-02-14 14:23:09,redis,RUNNING,0.15,0.003
2026-02-14 14:23:09,postgres,RUNNING,0.02,0.026
2026-02-14 14:23:09,adminer,RUNNING,0.0,0.012
2026-02-14 14:23:09,chatwoot_sidekiqV2,RUNNING,0.12,0.33
2026-02-14 14:23:09,supabase-storage,RUNNING,0.6,0.113
2026-02-14 14:23:09,chatwoot_postgres,RUNNING,0.02,0.048
2026-02-14 14:23:09,n8n_postgres,RUNNING,0.03,0.029
2026-02-14 14:23:09,supabase-analytics,RUNNING,1.17,0.578
2026-02-14 14:23:09,n8n_pgvector,RUNNING,0.0,0.018
2026-02-14 14:23:09,chatwoot_redis,RUNNING,0.19,0.005
