
  You can now view your Streamlit app in your browser.

  URL: http://0.0.0.0:8501

  For better performance, install the Watchdog module:

  $ xcode-select --install
  $ pip install watchdog
            
2026-02-01 23:31:36,468 - INFO - Background monitor thread spawned.
2026-02-01 23:31:36,621 - INFO - IA LOCAL (192.168.100.33): UP [Bypass]
2026-02-01 23:31:37,104 - INFO - 1001Talleres (147.93.179.212): UP [Bypass]
2026-02-01 23:31:37,343 - INFO - Hyundai (154.38.191.168): UP [Bypass]
2026-02-01 23:31:37,440 - INFO - Autocom (154.38.191.23): UP [Bypass]
2026-02-01 23:31:37,642 - INFO - Quitomotors (194.163.160.139): UP [Bypass]
2026-02-01 23:31:37,697 - INFO - Armacar (109.199.117.80): UP [Bypass]
2026-02-01 23:31:37,805 - INFO - 9rounds (217.76.58.149): UP [Bypass]
2026-02-01 23:31:37,806 - INFO - Kia (62.84.187.169): UP [Bypass]
2026-02-01 23:31:43,481 - WARNING - VPS-Testing (82.25.84.232): DOWN
2026-02-01 23:32:43,739 - INFO - IA LOCAL (192.168.100.33): UP [Bypass]
2026-02-01 23:32:44,088 - INFO - 1001Talleres (147.93.179.212): UP [Bypass]
2026-02-01 23:32:44,297 - INFO - Hyundai (154.38.191.168): UP [Bypass]
2026-02-01 23:32:44,389 - INFO - Autocom (154.38.191.23): UP [Bypass]
2026-02-01 23:32:44,518 - INFO - Armacar (109.199.117.80): UP [Bypass]
2026-02-01 23:32:44,576 - INFO - Kia (62.84.187.169): UP [Bypass]
2026-02-01 23:32:44,582 - INFO - 9rounds (217.76.58.149): UP [Bypass]
2026-02-01 23:32:44,689 - INFO - Quitomotors (194.163.160.139): UP [Bypass]
2026-02-01 23:32:50,492 - WARNING - VPS-Testing (82.25.84.232): DOWN
2026-02-01 23:33:50,648 - INFO - IA LOCAL (192.168.100.33): UP [Bypass]
2026-02-01 23:33:51,105 - INFO - 1001Talleres (147.93.179.212): UP [Bypass]
2026-02-01 23:33:51,259 - INFO - Hyundai (154.38.191.168): UP [Bypass]
2026-02-01 23:33:51,474 - INFO - Armacar (109.199.117.80): UP [Bypass]
2026-02-01 23:33:51,538 - INFO - Quitomotors (194.163.160.139): UP [Bypass]
2026-02-01 23:33:51,551 - INFO - Kia (62.84.187.169): UP [Bypass]
2026-02-01 23:33:51,649 - INFO - 9rounds (217.76.58.149): UP [Bypass]
2026-02-01 23:33:51,653 - INFO - Autocom (154.38.191.23): UP [Bypass]
2026-02-01 23:33:57,511 - WARNING - VPS-Testing (82.25.84.232): DOWN
2026-02-01 23:34:57,679 - INFO - IA LOCAL (192.168.100.33): UP [Bypass]
2026-02-01 23:34:58,049 - INFO - 1001Talleres (147.93.179.212): UP [Bypass]
2026-02-01 23:34:58,336 - INFO - Hyundai (154.38.191.168): UP [Bypass]
2026-02-01 23:34:58,342 - INFO - Autocom (154.38.191.23): UP [Bypass]
2026-02-01 23:34:58,477 - INFO - Armacar (109.199.117.80): UP [Bypass]
2026-02-01 23:34:58,543 - INFO - Quitomotors (194.163.160.139): UP [Bypass]
2026-02-01 23:34:58,582 - INFO - Kia (62.84.187.169): UP [Bypass]
2026-02-01 23:34:58,850 - INFO - 9rounds (217.76.58.149): UP [Bypass]
2026-02-01 23:35:04,528 - WARNING - VPS-Testing (82.25.84.232): DOWN
2026-02-01 23:36:04,632 - WARNING - VPS-Testing (82.25.84.232): DOWN
2026-02-01 23:36:04,709 - INFO - IA LOCAL (192.168.100.33): UP [Bypass]
2026-02-01 23:36:05,047 - INFO - 1001Talleres (147.93.179.212): UP [Bypass]
2026-02-01 23:36:05,438 - INFO - Hyundai (154.38.191.168): UP [Bypass]
2026-02-01 23:36:05,536 - INFO - Armacar (109.199.117.80): UP [Bypass]
2026-02-01 23:36:05,668 - INFO - Quitomotors (194.163.160.139): UP [Bypass]
2026-02-01 23:36:05,702 - INFO - Kia (62.84.187.169): UP [Bypass]
2026-02-01 23:36:06,417 - INFO - Autocom (154.38.191.23): UP [Bypass]
2026-02-01 23:36:06,866 - INFO - 9rounds (217.76.58.149): UP [Bypass]
2026-02-01 23:37:07,026 - INFO - IA LOCAL (192.168.100.33): UP [Bypass]
2026-02-01 23:37:07,383 - INFO - 1001Talleres (147.93.179.212): UP [Bypass]
2026-02-01 23:37:07,699 - INFO - Hyundai (154.38.191.168): UP [Bypass]
2026-02-01 23:37:07,886 - INFO - Quitomotors (194.163.160.139): UP [Bypass]
2026-02-01 23:37:07,911 - INFO - Kia (62.84.187.169): UP [Bypass]
2026-02-01 23:37:07,948 - INFO - Armacar (109.199.117.80): UP [Bypass]
2026-02-01 23:37:07,995 - INFO - 9rounds (217.76.58.149): UP [Bypass]
2026-02-01 23:37:08,943 - INFO - VPS-Testing (82.25.84.232): UP [Bypass]
2026-02-01 23:37:09,020 - INFO - Autocom (154.38.191.23): UP [Bypass]
2026-02-01 23:38:09,202 - INFO - IA LOCAL (192.168.100.33): UP [Bypass]
2026-02-01 23:38:09,687 - INFO - 1001Talleres (147.93.179.212): UP [Bypass]
2026-02-01 23:38:10,438 - INFO - Hyundai (154.38.191.168): UP [Bypass]
2026-02-01 23:38:10,516 - INFO - Autocom (154.38.191.23): UP [Bypass]
2026-02-01 23:38:10,543 - INFO - VPS-Testing (82.25.84.232): UP [Bypass]
2026-02-01 23:38:10,627 - INFO - Kia (62.84.187.169): UP [Bypass]
2026-02-01 23:38:10,628 - INFO - Armacar (109.199.117.80): UP [Bypass]
2026-02-01 23:38:10,629 - INFO - Quitomotors (194.163.160.139): UP [Bypass]
2026-02-01 23:38:10,919 - INFO - 9rounds (217.76.58.149): UP [Bypass]
2026-02-01 23:39:11,062 - INFO - IA LOCAL (192.168.100.33): UP [Bypass]
2026-02-01 23:39:11,407 - INFO - 1001Talleres (147.93.179.212): UP [Bypass]
2026-02-01 23:39:11,541 - INFO - VPS-Testing (82.25.84.232): UP [Bypass]
2026-02-01 23:39:11,810 - INFO - Hyundai (154.38.191.168): UP [Bypass]
2026-02-01 23:39:11,867 - INFO - Autocom (154.38.191.23): UP [Bypass]
2026-02-01 23:39:11,988 - INFO - Armacar (109.199.117.80): UP [Bypass]
2026-02-01 23:39:11,990 - INFO - Quitomotors (194.163.160.139): UP [Bypass]
2026-02-01 23:39:12,167 - INFO - Kia (62.84.187.169): UP [Bypass]
2026-02-01 23:39:13,323 - INFO - 9rounds (217.76.58.149): UP [Bypass]
2026-02-01 23:40:13,500 - INFO - IA LOCAL (192.168.100.33): UP [Bypass]
2026-02-01 23:40:13,855 - INFO - VPS-Testing (82.25.84.232): UP [Bypass]
2026-02-01 23:40:13,977 - INFO - 1001Talleres (147.93.179.212): UP [Bypass]
2026-02-01 23:40:14,290 - INFO - Hyundai (154.38.191.168): UP [Bypass]
2026-02-01 23:40:14,452 - INFO - Kia (62.84.187.169): UP [Bypass]
2026-02-01 23:40:14,455 - INFO - Armacar (109.199.117.80): UP [Bypass]
2026-02-01 23:40:14,655 - INFO - Quitomotors (194.163.160.139): UP [Bypass]
2026-02-01 23:40:14,695 - INFO - 9rounds (217.76.58.149): UP [Bypass]
2026-02-01 23:40:14,807 - INFO - Autocom (154.38.191.23): UP [Bypass]
