id,vps_ip,vps_name,timestamp,status,latency_ms,cpu_percent,ram_percent,disk_percent
29979,154.38.191.23,Autocom,1771097447,UP,724.53,100.0,28.85,26.9
29980,154.38.191.168,Hyundai,1771097447,UP,786.85,18.39,28.06,30.24
29981,194.163.160.139,Quitomotors,1771097447,UP,767.18,100.0,11.15,11.12
29982,62.84.187.169,Kia,1771097447,UP,861.2,100.0,27.75,33.84
29983,109.199.117.80,Armacar,1771097447,UP,893.14,100.0,27.49,15.3
29976,192.168.100.71,AGENTE C1 ,1771097446,UP,61.48,0.11,7.0,11.1
29977,192.168.100.33,IA LOCAL,1771097446,UP,156.5,0.03,2.2,18.32
29978,147.93.179.212,1001Talleres,1771097446,UP,522.5,100.0,28.48,27.55
29971,194.163.160.139,Quitomotors,1771097435,UP,729.56,100.0,11.12,11.12
29972,62.84.187.169,Kia,1771097435,UP,816.19,100.0,27.71,33.84
29973,82.25.84.232,Hostinger,1771097435,UP,609.59,75.03,55.31,65.04
29974,217.76.58.149,9rounds,1771097435,UP,2507.04,100.0,29.44,22.52
29975,109.199.117.80,Armacar,1771097435,UP,1043.57,100.0,27.12,15.3
29967,192.168.100.71,AGENTE C1 ,1771097434,UP,69.14,0.11,6.99,11.1
29968,147.93.179.212,1001Talleres,1771097434,UP,453.42,100.0,28.6,27.55
29969,154.38.191.168,Hyundai,1771097434,UP,631.1,18.39,28.1,30.24
29970,154.38.191.23,Autocom,1771097434,UP,855.97,100.0,28.86,26.9
29966,192.168.100.33,IA LOCAL,1771097433,UP,151.87,0.03,2.2,18.32
29957,147.93.179.212,1001Talleres,1771097432,DOWN,,,,
29958,154.38.191.168,Hyundai,1771097432,DOWN,,,,
29959,82.25.84.232,Hostinger,1771097432,DOWN,,,,
29960,62.84.187.169,Kia,1771097432,DOWN,,,,
29961,194.163.160.139,Quitomotors,1771097432,DOWN,,,,
29962,192.168.100.33,IA LOCAL,1771097432,DOWN,,,,
29963,154.38.191.23,Autocom,1771097432,DOWN,,,,
29964,192.168.100.71,AGENTE C1 ,1771097432,DOWN,,,,
29965,109.199.117.80,Armacar,1771097432,DOWN,,,,
29956,217.76.58.149,9rounds,1771097428,DOWN,,,,
29955,82.25.84.232,Hostinger,1771097411,UP,769.93,75.03,56.05,65.04
29951,154.38.191.168,Hyundai,1771097410,UP,930.17,18.39,28.14,30.24
29952,194.163.160.139,Quitomotors,1771097410,UP,896.68,100.0,11.17,11.12
29953,62.84.187.169,Kia,1771097410,UP,1018.93,100.0,27.96,33.84
29954,109.199.117.80,Armacar,1771097410,UP,1035.24,100.0,27.23,15.3
29947,192.168.100.33,IA LOCAL,1771097409,UP,170.92,0.03,2.21,18.32
29948,192.168.100.71,AGENTE C1 ,1771097409,UP,74.57,0.11,6.99,11.1
29949,147.93.179.212,1001Talleres,1771097409,UP,586.47,100.0,28.64,27.55
